word	ipa	rs	extra_consonants	ipa_derived_resp
sensual	/ˈsɛn.ʃu.əl/	SEHN-shuh-wuhl	w	SEHN-shoo-uhl
sensuous	/ˈsɛnʃuəs/	SEHN-shuh-wuhs	w	sehnshoouhs
sequential	/səˈkwɛntʃəl/	suh-KWEHN-shuhl	sh	suh-KWEHNCHUHL
serious	/ˈsɪɚ.i.əs/	SI-ree-uhs	r	SIUR-ee-uhs
seventy	/ˈsɛv.ən.di/	SEH-vuhn-tee	t	SEHV-uhn-dee
sequentially	/səˈkwɛntʃəli/	suh-KWEHN-shuh-lee	sh	suh-KWEHNCHUHLEE
sexually	/ˈsɛksjʊəli/	SEHK-shoo-uh-lee	sh	sehksyoo-uhlee
secretariat	/ˌsɛk.ɹəˈtɛɚ.i.ət/	seh-kri-TEH-ree-uht	r	sehk-ruh-TEHUR-ee-uht
seigniorage	/ˈseɪnjəɹɪd͡ʒ/	seeg-NEE-ur-ij	g	saynyuhrij
septuagenarian	/ˌsɛptəd͡ʒɪˈnɛɹiən/	sehp-choo-uh-juh-NEH-ree-uhn	ch	sehptuhji-NEHREEUHN
sharing	/ˈʃɛɚ.ɪŋ/	SHEH-ring	r	SHEHUR-ing
sheer	/ʃɪɚ/	shir	r	shiur
share	/ʃɛɚ/	shehr	r	shehur
shorter	/ˈʃɔːtə/	SHAWR-tur	r	shawtuh
shorty	/ˈʃɔː.ti/	SHAWR-tee	r	SHAW-tee
sinuous	/ˈsɪn.ju.əs/	SIN-wuhs	w	SIN-yoo-uhs
situation	/ˌsɪt.juːˈeɪ.ʃən/	si-choo-AY-shuhn	ch	sit-yoo-AY-shuhn
slowing	/ˈslaː.ɪn/	SLOH-ing	ng	SLA-in
smear	/smiɚ/	smir	r	smeeur
smarty	/ˈsmɑːti/	SMAHR-tee	r	smahtee
sneer	/snɪɚ̯/	snir	r	sniur
snowstorm	/ˈsnəʊstɔːm/	SNOH-stawrm	r	snohstawm
solitaire	/ˈsɑ.ləˌtɚ/	sah-luh-TEHR	r	SAH-luh-tur
sough	/saʊ/	sowf	f	sow
songy	/sɔŋi/	SAHN-jee	n,ch	sawngee
Souris	/sʊɚˈi/	SOO-ris	s,r	suuur-EE
spare	/spɛɚ/	spehr	r	spehur
spatula	/ˈspætjʊlə/	SPA-chuu-luh	ch	spatyuuluh
sphere	/sfɪɚ/	sfir	r	sfiur
spiel	/ʃpiːl/	speel	s	shpeel
spire	/ˈspaɪ.ɚ/	spyr	r	SPY-ur
spiritualism	/ˈspɪɹɪtjuəlɪzəm/	SPI-ri-choo-uh-lizm	ch	spirityoouhlizuhm
spanky	/ˈspæŋki/	SPAN-kee	n	spangkee
squire	/ˈskwaɪɚ/	skwyr	r	skwyur
statuesque	/statjʊˈɛsk/	sta-choo-EHSK	ch	statyuu-EHSK
stair	/stɛɚ/	stehr	r	stehur
stare	/stɛɚ/	stehr	r	stehur
statuette	/ˌstætjuˈɛt/	sta-choo-EHT	ch	statyoo-EHT
strength	/ˈstɹeɪŋθ/	strehngkth	k	strayngth
statism	/ˈsteɪdɪzm/	STAY-ti-zuhm	t	staydizm
stich	/stɪk/	stich	ch	stik
substitute	/ˈsʌb.stɪ.tʃuːt/	SUHB-stuh-toot	t	SUHB-sti-choot
sumptuous	/ˈsʌmptʃuəs/	SUHMPCH-wuhs	w	suhmpchoouhs
superfluous	/suˈpɝflu.əs/	SOO-purfl-wuhs	w	soo-PURFLOO-uhs
substantiate	/səbˈstænʃiˌeɪt/	suhb-STAN-chee-ayt	ch	suhb-STANSHEE-ayt
sweetheart	/ˈswiːtˌhɑːt/	SWEET-hahrt	r	SWEET-haht
sweatshirt	/ˈswɛtʃəːt/	SWEHT-shurt	t,sh	swehchuht
swear	/ˈswɛɚ/	swehr	r	swehur
syncopated	/ˈsinkə(ʊ)ˌpeɪtəd/	SING-kuh-pay-tid	ng	SEENKOH-paytuhd
syncope	/ˈsɪŋ.kə.pi/	SIN-kuh-pee	n	SING-kuh-pee
Szalay	/ˈsɒ.lɔɪ/	SHAH-ly	sh	SAH-loy
Szeto	/ˈsitoʊ/	SHEE-toh	sh	seetoh
Sze	/siː/	shee	sh	see
tangential	/tænˈd͡ʒɛn.t͡ʃəl/	tan-JEHN-shuhl	sh	tan-JEHN-chuhl
tao	/daʊ/	tow	t	dow
tac	/tæk/	TEE-AY-SEE	s	tak
teary	/ˈtɪɚi/	TI-ree	r	tiuree
techy	/ˈtɛki/	TEH-chee	ch	tehkee
tenuous	/ˈtɛn.ju.əs/	TEHN-yuh-wuhs	w	TEHN-yoo-uhs
textual	/ˈtɛks.tju.əl/	TEHKS-choo-uhl	ch	TEHKS-tyoo-uhl
temperament	/ˈtɛm.pɚ.ə.mənt/	TEHM-pruh-muhnt	r	TEHM-pur-uh-muhnt
temperature	/ˈtɛm.pɚ.(ə)ˌt͡ʃɚ/	TEHM-pruh-chur	r	TEHM-pur-uh-chur
tern	/tɝn/	turnz	s	turn
teer	/tɪə̯/	tir	r	tee-uh
Teixeira	/təˈʃɛəɹə/	tuhk-SEH-ruh	k,s	tuh-SHEHUHRUH
thespian	/ˈθɛzbi.ən/	THEH-spee-uhn	p	THEHZBEE-uhn
thirty	/ˈθɝti/	THUR-dee	d	thurtee
thereto	/ˌðɛɚˈtuː/	THEHR-too	r	thehur-TOO
thor	/ðɔː/	thawr	r	thaw
thread	[θɾ̪̊ɛd]	threhd	r	thtehd
threads	/θɾ̪̊ɛdz/	threhdz	r	thtehdz
thrill	[θɾ̪̊ɪɫ]	thril	r	thtil
thunk	/θʌŋk/	thuhnk	n	thuhngk
thyme	/taɪm/	thym	th	tym
theirs	/ðɛəz/	thehrz	r	thehuhz
Theodore	/ˈθiː.əˌdɔː/	THEE-uh-dawr	r	THEE-uh-daw
thaler	/ˈtɑːləɹ/	THAY-lur	th	tahluhr
Thomsen	/ˈtɒmsən/	THAHM-suhn	th	tahmsuhn
Tham	/tʌm/	tham	th	tuhm
tier	/ˈtaɪ.ɚ/	teer	r	TY-ur
tierce	/ˈtɪɚs/	teers	r	tiurs
tissue	/ˈtɪʃ.(j)u/	TIS-yoo	s	TISH-yoo
torrential	/tɔˈɹɛn.t͡ʃəl/	taw-REHN-shuhl	sh	taw-REHN-chuhl
tortuous	/ˈtɔɹt͡ʃuəs/	TAWR-chuh-wuhs	w	tawrchoouhs
tourmaline	/ˈtʊɚ.mə.lɪn/	TUUR-muh-leen	r	TUUUR-muh-lin
trenchant	/ˈtɹɛnʃənt/	TREHN-chuhnt	ch	trehnshuhnt
tranche	/tɹɑ̃ʃ/	tranch	n,ch	trahsh
transactions	/t(ʃ)ɹænˈzækʃənz/	tran-ZAK-shuhnz	t	chran-ZAKSHUHNZ
triage	/ˈtɹi.ɑʒ/	TRY-ij	ch	TREE-ahzh
trimester	/ˈt(ʃ)ɹaɪ.mɛs.təɹ/	try-MEH-stur	t	CHRY-mehs-tuhr
troche	/ˈtɹoʊ.ki/	trahch	ch	TROH-kee
trough	/tɹɔθ/	trawf	f	trawth
trowel	/ˈtɹaʊ.əl/	TROW-wehl	w	TROW-uhl
Tse	/si/	tsee	t	see
turmeric	/ˈtɝ.mɚ.ɪk/	TUR-muh-rik	r	TUR-mur-ik
typology	/taɪˈpɒl.ə.d͡ʒi/	ty-POH-luh-gi	g	ty-PAHL-uh-jee
ulterior	/ʌlˈtɪɚ.i.ɚ/	uhl-TI-ree-ur	r	uhl-TIUR-ee-ur
unaware	/ˌʌnəˈwɛɚ/	uh-nuh-WEHR	r	uhnuh-WEHUR
unclear	/ʌnˈklɪɚ/	uhn-KLIR	r	uhn-KLIUR
unconscionable	/ˌənˈkɑn(t)ʃ(ə)nəbəl/	uhn-KAHN-shuh-nuh-buhl	sh	uhn-KAHNCHUHNUHBUHL
undiagnosed	/ˌʌnˌdaɪəɡˈnəʊzd/	uhn-DY-ag-nohst	t	uhn-dyuhg-NOHZD
undulate	/ˈʌndjəleɪt/	UHN-juh-layt	ch	uhndyuhlayt
unfair	/ʌnˈfɛɚ/	uhn-FEHR	r	uhn-FEHUR
uncannily	/ʌŋˈkænɪli/	uhn-KA-nuh-lee	n	uhng-KANILEE
unfairness	/ʌnˈfɛɚnəs/	uhn-FEHR-nuhs	r	uhn-FEHURNUHS
university	/ˌjunəˈvərsədi/	yoo-nuh-VUR-suh-tee	t	yoonuh-VUHRSUHDEE
usual	/ˈju.ʒuəl/	YOO-zhuh-wuhl	w	YOO-zhoouhl
usually	/ˈjuːʒʊəli/	YOO-zhuh-wuh-lee	w	yoozhoo-uhlee
vancomycin	/ˌvæŋ.kəˈmaɪ.sɪn/	van-koh-MY-sin	n	vang-kuh-MY-sin
Valadez	/bæləˈdɛs/	vah-LAH-dehz	f	baluh-DEHS
vengeful	/ˈvɛnʒ.fəl/	VEHNJ-fuhl	ch	VEHNZH-fuhl
venturesome	/ˈvɛntjʊə(ɹ)səm/	VEHN-chur-suhm	ch	vehntyoo-uhrsuhm
vehicle	/ˈvi.ə.kəl/	VEE-hi-kuhl	h	VEE-uh-kuhl
visual	/ˈvɪʒuəl/	VI-zhuh-wuhl	w	vizhoouhl
visually	/ˈvɪzju.əli/	VIZH-wuh-lee	sh,w	VIZYOO-uhlee
virgule	/ˈvɝ.ɡjul/	VIR-gyool	r	VUR-gyool
virtuosity	/ˌvɜː(ɹ)tjuˈɒsɪti/	vur-choo-AH-si-tee	ch	vurrtyoo-AHSITEE
viscount	/ˈvaɪ.kaʊnt/	VI-skownt	s	VY-kownt
visualization	/ˌvɪʒ.u.ə.laɪˈzeɪ.ʃən/	vizh-wuh-luh-ZAY-shuhn	w	vizh-oo-uh-ly-ZAY-shuhn
visualize	/ˈvɪʒuəˌlaɪz/	VIZH-wuh-lyz	w	VIZHOOUH-lyz
voluptuous	/vəˈlʌp.t͡ʃu.əs/	vuh-LUHP-chuh-wuhs	w	vuh-LUHP-choo-uhs
Volkswagen	/ˈvoʊksˌwæɡən/	VOHLK-swa-guhn	l	VOHKS-waguhn
wary	/ˈwɛɚ.i/	WEH-ree	r	WEHUR-ee
watermark	/ˈwɔːtəmɑːk/	WAW-tur-mahrk	r	wawtuhmahk
weary	/ˈwɪɚi/	WI-ree	r	wiuree
weird	/ˈwiɚd/	wird	r	weeurd
welsh	/wɛlʃ/	wehlch	ch	wehlsh
weirdness	/ˈwɪɚdnəs/	WIRD-nuhs	r	wiurdnuhs
welfare	/ˈwɛlˌfɛɚ/	WEHL-fehr	r	WEHL-fehur
wherewithal	/ˈwɛɚ.wɪ.ðɔl/	WEHR-wi-thawl	r	WEHUR-wi-thawl
whore	/hɔɚ/	hawr	r	hawur
where	/ˈwɛə/	wehr	r	wehuh
willowy	/ˈwɪloʊi/	WI-luh-wee	w	wilohee
width	/ˈwɪtθ/	width	d	witth
windshield	/wɪnˈʃiːld/	WIND-sheeld	d	win-SHEELD
Wilhelmina	/ˌwɪl.əˈmiːn.ə/	wil-hehl-MEE-nah	l,h	wil-uh-MEEN-uh
Wojcicki	/vʊɪ̯ˈtʃɪtski/	woy-CHIT-skee	w	vuui-CHITSKEE
wunderkind	/ˈvʊn.də.kɪnd/	WUHN-dur-kynd	w	VUUN-duh-kind
xi	/zaɪ/	shee	sh	zy
YouTube	/ˈjuːtʃuːb/	YOOT-yoob	t	yoochoob
yurt	/jɝːt/	yuurt	r	yurt
zeitgeist	/ˈzaɪtˌɡaɪst/	TSYT-gyst	t	ZYT-gyst
zhou	/d͡ʒoʊ/	zhoo	sh	joh
Zhengzhou	/ˈdʒʌŋˈdʒəʊ/	ZHEHNGG-zhoo	sh,g	JUHNG-JOH
Zhuhai	/ˈt͡ʃuˈhaɪ/	ZHOO-HY	sh	CHOO-HY
