type	derived	base	relation
ist->y	telegraphist	telegraphy	practitioner in
ist->y	telepathist	telepathy	practitioner in
ist->y	telephonist	telephony	practitioner in
ist->y	thaumaturgist	thaumaturgy	practitioner in
ist->y	theorist	theory	practitioner in
ist->y	therapist	therapy	practitioner in
ization->ize	acclimatization	acclimatize	act of
ization->ize	actualization	actualize	act of
ization->ize	alphabetization	alphabetize	act of
ization->ize	americanization	americanize	act of
ization->ize	amortization	amortize	act of
ization->ize	anathematization	anathematize	act of
ization->ize	anglicization	anglicize	act of
ization->ize	animalization	animalize	act of
ization->ize	atomization	atomize	act of
ization->ize	authorization	authorize	act of
ization->ize	barbarization	barbarize	act of
ization->ize	bastardization	bastardize	act of
ization->ize	bowdlerization	bowdlerize	act of
ization->ize	brutalization	brutalize	act of
ization->ize	canalization	canalize	act of
ization->ize	cannulization	cannulize	act of
ization->ize	canonization	canonize	act of
ization->ize	capitalization	capitalize	act of
ization->ize	carbonization	carbonize	act of
ization->ize	categorization	categorize	act of
ization->ize	catheterization	catheterize	act of
ization->ize	cauterization	cauterize	act of
ization->ize	centralization	centralize	act of
ization->ize	channelization	channelize	act of
ization->ize	characterization	characterize	act of
ization->ize	christianization	christianize	act of
ization->ize	circularization	circularize	act of
ization->ize	civilization	civilize	act of
ization->ize	collectivization	collectivize	act of
ization->ize	colonization	colonize	act of
ization->ize	commercialization	commercialize	act of
ization->ize	communization	communize	act of
ization->ize	compartmentalization	compartmentalize	act of
ization->ize	computerization	computerize	act of
ization->ize	conceptualization	conceptualize	act of
ization->ize	conventionalization	conventionalize	act of
ization->ize	criminalization	criminalize	act of
ization->ize	crystallization	crystallize	act of
ization->ize	deaminization	deaminize	act of
ization->ize	decentralization	decentralize	act of
ization->ize	decimalization	decimalize	act of
ization->ize	decolonization	decolonize	act of
ization->ize	decriminalization	decriminalize	act of
ization->ize	dehumanization	dehumanize	act of
ization->ize	demagnetization	demagnetize	act of
ization->ize	demineralization	demineralize	act of
ization->ize	demobilization	demobilize	act of
ization->ize	democratization	democratize	act of
ization->ize	demonetization	demonetize	act of
ization->ize	demonization	demonize	act of
ization->ize	demoralization	demoralize	act of
ization->ize	demythologization	demythologize	act of
ization->ize	denationalization	denationalize	act of
ization->ize	depersonalization	depersonalize	act of
ization->ize	depolarization	depolarize	act of
ization->ize	desalinization	desalinize	act of
ization->ize	desensitization	desensitize	act of
ization->ize	destabilization	destabilize	act of
ization->ize	destalinization	destalinize	act of
ization->ize	desynchronization	desynchronize	act of
ization->ize	detribalization	detribalize	act of
ization->ize	devitalization	devitalize	act of
ization->ize	diagonalization	diagonalize	act of
ization->ize	dichotomization	dichotomize	act of
ization->ize	digitalization	digitalize	act of
ization->ize	digitization	digitize	act of
ization->ize	disorganization	disorganize	act of
ization->ize	dramatization	dramatize	act of
ization->ize	equalization	equalize	act of
ization->ize	europeanization	europeanize	act of
ization->ize	extemporization	extemporize	act of
ization->ize	exteriorization	exteriorize	act of
ization->ize	externalization	externalize	act of
ization->ize	factorization	factorize	act of
ization->ize	familiarization	familiarize	act of
ization->ize	federalization	federalize	act of
ization->ize	feminization	feminize	act of
ization->ize	fertilization	fertilize	act of
ization->ize	fictionalization	fictionalize	act of
ization->ize	finalization	finalize	act of
ization->ize	fluoridization	fluoridize	act of
ization->ize	focalization	focalize	act of
ization->ize	formalization	formalize	act of
ization->ize	fossilization	fossilize	act of
ization->ize	fraternization	fraternize	act of
ization->ize	galvanization	galvanize	act of
ization->ize	generalization	generalize	act of
ization->ize	glamorization	glamorize	act of
ization->ize	glamourization	glamourize	act of
ization->ize	globalization	globalize	act of
ization->ize	harmonization	harmonize	act of
ization->ize	homogenization	homogenize	act of
ization->ize	hospitalization	hospitalize	act of
ization->ize	humanization	humanize	act of
ization->ize	hybridization	hybridize	act of
ization->ize	hypostatization	hypostatize	act of
ization->ize	idealization	idealize	act of
ization->ize	idolization	idolize	act of
ization->ize	immobilization	immobilize	act of
ization->ize	immunization	immunize	act of
ization->ize	individualization	individualize	act of
ization->ize	industrialization	industrialize	act of
ization->ize	initialization	initialize	act of
ization->ize	internalization	internalize	act of
ization->ize	internationalization	internationalize	act of
ization->ize	ionization	ionize	act of
ization->ize	isomerization	isomerize	act of
ization->ize	itemization	itemize	act of
ization->ize	keratinization	keratinize	act of
ization->ize	lateralization	lateralize	act of
ization->ize	legalization	legalize	act of
ization->ize	lexicalization	lexicalize	act of
ization->ize	liberalization	liberalize	act of
ization->ize	localization	localize	act of
ization->ize	lyophilization	lyophilize	act of
ization->ize	lysogenization	lysogenize	act of
ization->ize	magnetization	magnetize	act of
ization->ize	marbleization	marbleize	act of
ization->ize	marginalization	marginalize	act of
ization->ize	masculinization	masculinize	act of
ization->ize	materialization	materialize	act of
ization->ize	maximization	maximize	act of
ization->ize	mechanization	mechanize	act of
ization->ize	memorialization	memorialize	act of
ization->ize	memorization	memorize	act of
ization->ize	militarization	militarize	act of
ization->ize	miniaturization	miniaturize	act of
ization->ize	minimization	minimize	act of
ization->ize	mobilization	mobilize	act of
ization->ize	modernization	modernize	act of
ization->ize	monetization	monetize	act of
ization->ize	monopolization	monopolize	act of
ization->ize	moralization	moralize	act of
ization->ize	motorization	motorize	act of
ization->ize	mythologization	mythologize	act of
ization->ize	nasalization	nasalize	act of
ization->ize	nationalization	nationalize	act of
ization->ize	naturalization	naturalize	act of
ization->ize	neutralization	neutralize	act of
ization->ize	normalization	normalize	act of
ization->ize	novelization	novelize	act of
ization->ize	opsonization	opsonize	act of
ization->ize	optimization	optimize	act of
ization->ize	organization	organize	act of
ization->ize	overcapitalization	overcapitalize	act of
ization->ize	oxidization	oxidize	act of
ization->ize	particularization	particularize	act of
ization->ize	pasteurization	pasteurize	act of
ization->ize	pauperization	pauperize	act of
ization->ize	penalization	penalize	act of
ization->ize	peptization	peptize	act of
ization->ize	plagiarization	plagiarize	act of
ization->ize	pluralization	pluralize	act of
ization->ize	polarization	polarize	act of
ization->ize	polymerization	polymerize	act of
ization->ize	popularization	popularize	act of
ization->ize	privatization	privatize	act of
ization->ize	professionalization	professionalize	act of
ization->ize	pulverization	pulverize	act of
ization->ize	quantization	quantize	act of
ization->ize	randomization	randomize	act of
ization->ize	rationalization	rationalize	act of
ization->ize	realization	realize	act of
ization->ize	regularization	regularize	act of
ization->ize	reharmonization	reharmonize	act of
ization->ize	remilitarization	remilitarize	act of
ization->ize	reorganization	reorganize	act of
ization->ize	revitalization	revitalize	act of
ization->ize	romanticization	romanticize	act of
ization->ize	ruggedization	ruggedize	act of
ization->ize	sanitization	sanitize	act of
ization->ize	scandalization	scandalize	act of
ization->ize	schematization	schematize	act of
ization->ize	sectionalization	sectionalize	act of
ization->ize	secularization	secularize	act of
ization->ize	sensitization	sensitize	act of
ization->ize	sentimentalization	sentimentalize	act of
ization->ize	serialization	serialize	act of
ization->ize	signalization	signalize	act of
ization->ize	socialization	socialize	act of
ization->ize	solarization	solarize	act of
ization->ize	solemnization	solemnize	act of
ization->ize	specialization	specialize	act of
ization->ize	spiritualization	spiritualize	act of
ization->ize	stabilization	stabilize	act of
ization->ize	stalinization	stalinize	act of
ization->ize	standardization	standardize	act of
ization->ize	sterilization	sterilize	act of
ization->ize	stigmatization	stigmatize	act of
ization->ize	stylization	stylize	act of
ization->ize	subsidization	subsidize	act of
ization->ize	summarization	summarize	act of
ization->ize	symbolization	symbolize	act of
ization->ize	synchronization	synchronize	act of
ization->ize	systematization	systematize	act of
ization->ize	tantalization	tantalize	act of
ization->ize	tenderization	tenderize	act of
ization->ize	territorialization	territorialize	act of
ization->ize	terrorization	terrorize	act of
ization->ize	theorization	theorize	act of
ization->ize	topicalization	topicalize	act of
ization->ize	unionization	unionize	act of
ization->ize	unitization	unitize	act of
ization->ize	urbanization	urbanize	act of
ization->ize	utilization	utilize	act of
ization->ize	vaporization	vaporize	act of
ization->ize	vascularization	vascularize	act of
ization->ize	verbalization	verbalize	act of
ization->ize	victimization	victimize	act of
ization->ize	virilization	virilize	act of
ization->ize	visualization	visualize	act of
ization->ize	vitalization	vitalize	act of
ization->ize	vocalization	vocalize	act of
ization->ize	vulcanization	vulcanize	act of
ization->ize	vulgarization	vulgarize	act of
ization->ize	westernization	westernize	act of
ologic->ology	aetiologic	aetiology	relating to
ologic->ology	agrobiologic	agrobiology	relating to
ologic->ology	agrologic	agrology	relating to
ologic->ology	archaeologic	archaeology	relating to
ologic->ology	archeologic	archeology	relating to
ologic->ology	bacteriologic	bacteriology	relating to
ologic->ology	biologic	biology	relating to
ologic->ology	cardiologic	cardiology	relating to
ologic->ology	cosmologic	cosmology	relating to
ologic->ology	cryptologic	cryptology	relating to
ologic->ology	cytologic	cytology	relating to
ologic->ology	dermatologic	dermatology	relating to
ologic->ology	ecologic	ecology	relating to
ologic->ology	embryologic	embryology	relating to
ologic->ology	entomologic	entomology	relating to
ologic->ology	epidemiologic	epidemiology	relating to
ologic->ology	ethnologic	ethnology	relating to
ologic->ology	etiologic	etiology	relating to
ologic->ology	geologic	geology	relating to
ologic->ology	geomorphologic	geomorphology	relating to
ologic->ology	gynecologic	gynecology	relating to
ologic->ology	hematologic	hematology	relating to
ologic->ology	heterologic	heterology	relating to
ologic->ology	histologic	histology	relating to
ologic->ology	homologic	homology	relating to
ologic->ology	ideologic	ideology	relating to
ologic->ology	immunologic	immunology	relating to
ologic->ology	meteorologic	meteorology	relating to
ologic->ology	morphologic	morphology	relating to
ologic->ology	mythologic	mythology	relating to
ologic->ology	neurologic	neurology	relating to
ologic->ology	oncologic	oncology	relating to
ologic->ology	pathologic	pathology	relating to
ologic->ology	pharmacologic	pharmacology	relating to
ologic->ology	phonologic	phonology	relating to
ologic->ology	physiologic	physiology	relating to
ologic->ology	psychopathologic	psychopathology	relating to
ologic->ology	rheologic	rheology	relating to
ologic->ology	seismologic	seismology	relating to
ologic->ology	serologic	serology	relating to
ologic->ology	sociobiologic	sociobiology	relating to
ologic->ology	tautologic	tautology	relating to
ologic->ology	topologic	topology	relating to
ologic->ology	toxicologic	toxicology	relating to
ological->ology	aerological	aerology	relating to
ological->ology	aetiological	aetiology	relating to
ological->ology	agrobiological	agrobiology	relating to
ological->ology	agrological	agrology	relating to
ological->ology	anthropological	anthropology	relating to
ological->ology	archaeological	archaeology	relating to
ological->ology	archeological	archeology	relating to
ological->ology	astrological	astrology	relating to
ological->ology	axiological	axiology	relating to
ological->ology	bacteriological	bacteriology	relating to
ological->ology	biological	biology	relating to
ological->ology	christological	christology	relating to
ological->ology	chronological	chronology	relating to
ological->ology	cosmological	cosmology	relating to
ological->ology	criminological	criminology	relating to
ological->ology	cryptological	cryptology	relating to
ological->ology	cytological	cytology	relating to
ological->ology	dermatological	dermatology	relating to
ological->ology	ecological	ecology	relating to
ological->ology	entomological	entomology	relating to
ological->ology	epidemiological	epidemiology	relating to
ological->ology	epistemological	epistemology	relating to
ological->ology	eschatological	eschatology	relating to
ological->ology	ethnological	ethnology	relating to
ological->ology	etiological	etiology	relating to
ological->ology	etymological	etymology	relating to
ological->ology	geological	geology	relating to
ological->ology	geomorphological	geomorphology	relating to
ological->ology	gerontological	gerontology	relating to
ological->ology	glottochronological	glottochronology	relating to
ological->ology	gynaecological	gynaecology	relating to
ological->ology	gynecological	gynecology	relating to
ological->ology	haematological	haematology	relating to
ological->ology	hematological	hematology	relating to
ological->ology	heterological	heterology	relating to
ological->ology	histological	histology	relating to
ological->ology	homological	homology	relating to
ological->ology	ideological	ideology	relating to
ological->ology	immunological	immunology	relating to
ological->ology	limnological	limnology	relating to
ological->ology	meteorological	meteorology	relating to
ological->ology	methodological	methodology	relating to
ological->ology	metrological	metrology	relating to
ological->ology	morphological	morphology	relating to
ological->ology	musicological	musicology	relating to
ological->ology	mythological	mythology	relating to
ological->ology	neurobiological	neurobiology	relating to
ological->ology	neurological	neurology	relating to
ological->ology	neurophysiological	neurophysiology	relating to
ological->ology	neuropsychological	neuropsychology	relating to
ological->ology	numerological	numerology	relating to
ological->ology	oncological	oncology	relating to
ological->ology	ontological	ontology	relating to
ological->ology	ornithological	ornithology	relating to
ological->ology	palaeontological	palaeontology	relating to
ological->ology	paleoanthropological	paleoanthropology	relating to
ological->ology	paleontological	paleontology	relating to
ological->ology	parapsychological	parapsychology	relating to
ological->ology	pathological	pathology	relating to
ological->ology	pharmacological	pharmacology	relating to
ological->ology	philological	philology	relating to
ological->ology	phonological	phonology	relating to
ological->ology	phrenological	phrenology	relating to
ological->ology	physiological	physiology	relating to
ological->ology	protozoological	protozoology	relating to
ological->ology	psychological	psychology	relating to
ological->ology	psychopathological	psychopathology	relating to
ological->ology	psychopharmacological	psychopharmacology	relating to
ological->ology	pteridological	pteridology	relating to
ological->ology	radiological	radiology	relating to
ological->ology	rheological	rheology	relating to
ological->ology	scatological	scatology	relating to
ological->ology	seismological	seismology	relating to
ological->ology	serological	serology	relating to
ological->ology	sociobiological	sociobiology	relating to
ological->ology	sociological	sociology	relating to
ological->ology	soteriological	soteriology	relating to
ological->ology	tautological	tautology	relating to
ological->ology	technological	technology	relating to
ological->ology	teleological	teleology	relating to
ological->ology	terminological	terminology	relating to
ological->ology	theological	theology	relating to
ological->ology	topological	topology	relating to
ological->ology	toxicological	toxicology	relating to
ological->ology	virological	virology	relating to
ological->ology	zoological	zoology	relating to
ologist->ology	aetiologist	aetiology	one who studies
ologist->ology	anesthesiologist	anesthesiology	one who studies
ologist->ology	angiologist	angiology	one who studies
ologist->ology	anthologist	anthology	one who studies
ologist->ology	anthropologist	anthropology	one who studies
ologist->ology	apologist	apology	one who studies
ologist->ology	archaeologist	archaeology	one who studies
ologist->ology	archeologist	archeology	one who studies
ologist->ology	astrologist	astrology	one who studies
ologist->ology	bacteriologist	bacteriology	one who studies
ologist->ology	biologist	biology	one who studies
ologist->ology	bugologist	bugology	one who studies
ologist->ology	cardiologist	cardiology	one who studies
ologist->ology	climatologist	climatology	one who studies
ologist->ology	conchologist	conchology	one who studies
ologist->ology	cosmetologist	cosmetology	one who studies
ologist->ology	cosmologist	cosmology	one who studies
ologist->ology	craniologist	craniology	one who studies
ologist->ology	criminologist	criminology	one who studies
ologist->ology	cryptologist	cryptology	one who studies
ologist->ology	cytologist	cytology	one who studies
ologist->ology	dermatologist	dermatology	one who studies
ologist->ology	ecologist	ecology	one who studies
ologist->ology	egyptologist	egyptology	one who studies
ologist->ology	embryologist	embryology	one who studies
ologist->ology	endocrinologist	endocrinology	one who studies
ologist->ology	enologist	enology	one who studies
ologist->ology	entomologist	entomology	one who studies
ologist->ology	enzymologist	enzymology	one who studies
ologist->ology	epidemiologist	epidemiology	one who studies
ologist->ology	epistemologist	epistemology	one who studies
ologist->ology	escapologist	escapology	one who studies
ologist->ology	eschatologist	eschatology	one who studies
ologist->ology	ethnologist	ethnology	one who studies
ologist->ology	ethologist	ethology	one who studies
ologist->ology	etiologist	etiology	one who studies
ologist->ology	etymologist	etymology	one who studies
ologist->ology	gastroenterologist	gastroenterology	one who studies
ologist->ology	geologist	geology	one who studies
ologist->ology	gerontologist	gerontology	one who studies
ologist->ology	graphologist	graphology	one who studies
ologist->ology	gynaecologist	gynaecology	one who studies
ologist->ology	gynecologist	gynecology	one who studies
ologist->ology	haematologist	haematology	one who studies
ologist->ology	hagiologist	hagiology	one who studies
ologist->ology	hematologist	hematology	one who studies
ologist->ology	herpetologist	herpetology	one who studies
ologist->ology	histologist	histology	one who studies
ologist->ology	horologist	horology	one who studies
ologist->ology	hydrologist	hydrology	one who studies
ologist->ology	ichthyologist	ichthyology	one who studies
ologist->ology	ideologist	ideology	one who studies
ologist->ology	immunologist	immunology	one who studies
ologist->ology	lepidopterologist	lepidopterology	one who studies
ologist->ology	lexicologist	lexicology	one who studies
ologist->ology	limnologist	limnology	one who studies
ologist->ology	malacologist	malacology	one who studies
ologist->ology	meteorologist	meteorology	one who studies
ologist->ology	microbiologist	microbiology	one who studies
ologist->ology	mixologist	mixology	one who studies
ologist->ology	musicologist	musicology	one who studies
ologist->ology	mycologist	mycology	one who studies
ologist->ology	mythologist	mythology	one who studies
ologist->ology	neologist	neology	one who studies
ologist->ology	neurobiologist	neurobiology	one who studies
ologist->ology	neurologist	neurology	one who studies
ologist->ology	numerologist	numerology	one who studies
ologist->ology	numismatologist	numismatology	one who studies
ologist->ology	oenologist	oenology	one who studies
ologist->ology	oncologist	oncology	one who studies
ologist->ology	ophthalmologist	ophthalmology	one who studies
ologist->ology	ornithologist	ornithology	one who studies
ologist->ology	osteologist	osteology	one who studies
ologist->ology	otolaryngologist	otolaryngology	one who studies
ologist->ology	otologist	otology	one who studies
ologist->ology	otorhinolaryngologist	otorhinolaryngology	one who studies
ologist->ology	palaeontologist	palaeontology	one who studies
ologist->ology	paleontologist	paleontology	one who studies
ologist->ology	parapsychologist	parapsychology	one who studies
ologist->ology	pathologist	pathology	one who studies
ologist->ology	penologist	penology	one who studies
ologist->ology	perinatologist	perinatology	one who studies
ologist->ology	pharmacologist	pharmacology	one who studies
ologist->ology	philologist	philology	one who studies
ologist->ology	phonologist	phonology	one who studies
ologist->ology	phrenologist	phrenology	one who studies
ologist->ology	physiologist	physiology	one who studies
ologist->ology	phytologist	phytology	one who studies
ologist->ology	pomologist	pomology	one who studies
ologist->ology	proctologist	proctology	one who studies
ologist->ology	protozoologist	protozoology	one who studies
ologist->ology	psephologist	psephology	one who studies
ologist->ology	psychologist	psychology	one who studies
ologist->ology	pteridologist	pteridology	one who studies
ologist->ology	radiobiologist	radiobiology	one who studies
ologist->ology	radiologist	radiology	one who studies
ologist->ology	rheumatologist	rheumatology	one who studies
ologist->ology	rhinolaryngologist	rhinolaryngology	one who studies
ologist->ology	seismologist	seismology	one who studies
ologist->ology	serologist	serology	one who studies
ologist->ology	sinologist	sinology	one who studies
ologist->ology	sociobiologist	sociobiology	one who studies
ologist->ology	sociologist	sociology	one who studies
ologist->ology	spelaeologist	spelaeology	one who studies
ologist->ology	speleologist	speleology	one who studies
ologist->ology	technologist	technology	one who studies
ologist->ology	teleologist	teleology	one who studies
ologist->ology	theologist	theology	one who studies
ologist->ology	toxicologist	toxicology	one who studies
ologist->ology	tribologist	tribology	one who studies
ologist->ology	uranologist	uranology	one who studies
ologist->ology	urologist	urology	one who studies
ologist->ology	virologist	virology	one who studies
ologist->ology	zoologist	zoology	one who studies
phile->philia	anglophile	anglophilia	one who loves
phile->philia	basophile	basophilia	one who loves
phile->philia	eosinophile	eosinophilia	one who loves
phile->philia	haemophile	haemophilia	one who loves
phile->philia	hemophile	hemophilia	one who loves
phile->philia	paedophile	paedophilia	one who loves
phile->philia	pedophile	pedophilia	one who loves
phile->philia	technophile	technophilia	one who loves
philic->philia	anglophilic	anglophilia	relating to
philic->philia	basophilic	basophilia	relating to
philic->philia	eosinophilic	eosinophilia	relating to
philic->philia	haemophilic	haemophilia	relating to
philic->philia	hemophilic	hemophilia	relating to
philic->philia	technophilic	technophilia	relating to
phobe->phobia	anglophobe	anglophobia	one who fears
phobe->phobia	claustrophobe	claustrophobia	one who fears
phobe->phobia	homophobe	homophobia	one who fears
phobe->phobia	technophobe	technophobia	one who fears
phobic->phobia	acrophobic	acrophobia	relating to
phobic->phobia	agoraphobic	agoraphobia	relating to
phobic->phobia	algophobic	algophobia	relating to
phobic->phobia	anglophobic	anglophobia	relating to
phobic->phobia	aquaphobic	aquaphobia	relating to
phobic->phobia	claustrophobic	claustrophobia	relating to
phobic->phobia	homophobic	homophobia	relating to
phobic->phobia	hydrophobic	hydrophobia	relating to
phobic->phobia	mysophobic	mysophobia	relating to
phobic->phobia	technophobic	technophobia	relating to
phobic->phobia	triskaidekaphobic	triskaidekaphobia	relating to
phobic->phobia	xenophobic	xenophobia	relating to
